year,Haaretz,Maariv,Makor,Yated,Yedioth
1993,1780.0,709.0,,,inf
1994,2625.0,2901.0,,,584.75
1995,741.0,1335.0,,,1300.5
1996,472.1666666666667,1716.0,,,1054.3333333333333
1997,314.0833333333333,1599.5,,,545.8333333333334
1998,570.1428571428571,1038.3333333333333,,,1853.5
1999,373.1666666666667,inf,,,696.0
2000,901.6666666666666,1447.5,inf,inf,790.0
2001,827.8571428571429,958.3333333333334,inf,177.66666666666666,560.2857142857143
2002,1270.25,inf,,347.0,737.8
2003,545.3333333333334,inf,,730.0,748.6
2004,1302.75,404.0,,150.4,418.6666666666667
2005,468.72727272727275,720.4285714285714,inf,218.66666666666666,508.625
2006,2059.3333333333335,895.2,inf,161.5,1397.0
2007,781.875,964.75,inf,686.0,893.6
2008,1819.0,4557.0,1341.0,136.16666666666666,639.1428571428571
2009,1315.0,2367.0,inf,397.0,571.5
2010,360.625,2167.5,inf,221.0,442.6
2011,322.4117647058824,283.1764705882353,1108.3333333333333,94.7,344.1666666666667
2012,638.4285714285714,660.5,2782.0,142.2,347.0
2013,1801.0,289.9375,581.6666666666666,445.0,305.2
2014,832.5,393.75,635.0,439.0,565.8
2015,558.3636363636364,212.3448275862069,345.5,inf,191.75
2016,111.06818181818181,383.2857142857143,1554.0,183.2,516.6666666666666
2017,142.22222222222223,452.90909090909093,456.0,1091.0,2367.0
2018,641.5454545454545,629.5,360.6,314.0,439.4
2019,299.22727272727275,158.93333333333334,209.625,70.4375,124.88888888888889
2020,382.8421052631579,265.4375,1590.0,92.25,193.3125
2021,333.0,652.4285714285714,732.0,,216.475
2022,370.2857142857143,316.6,290.0,,307.0
